ประเภษ,THP,USP,EUHM,รายการโรค,Test 70,Test 40,Test 80,ซื่อวัตถุ,ชื่อวิทยาศาสตร์ ,ซื่อวงศ์/อื่น,ลักษณะและชนิด,ส่วนที่ใช้,เย็น,ร้อน,สขุม,ฝาด,หวาน,ขม,เผ็ด,มัน,หอม,เค็ม,เปรี้ยว,เมา,เบื่อ,จืด,อื่น,สรรพคุณ,สารสาคัญและฤทธิ์ทางเภสัชวิทยา,วิธีใช้,ข้อห้าม หรือ ควรระวัง,ฮื่นๆ,MEdchinA
ต้น,,,,,,,,น้อยหน่า,Annona squamosa L.,ANNONACEAE,ใช้เมล็ดน้อยหน่าหรือใบสด ตำให้ละเอียด ผสมกับน้ำมันมะพร้าว 1-2ช้อนโต๊ะ ขยี้ให้ทั่วศีรษะแล้วใช้ผ้าคลุมโพกไว้ประมาณคร่ึงชั่วโมง สระผมให้สะอาดระวังอย่าให้เข้าตา,เปลือกลูก,,,,●,,,,,,,,,,,,ฝนกับสุราทาแก้พิษงู,,,,,
ต้น,,,,,,,,น้อยหน่า,Annona squamosa L.,ANNONACEAE,ใช้เมล็ดน้อยหน่าหรือใบสด ตำให้ละเอียด ผสมกับน้ำมันมะพร้าว 1-2ช้อนโต๊ะ ขยี้ให้ทั่วศีรษะแล้วใช้ผ้าคลุมโพกไว้ประมาณคร่ึงชั่วโมง สระผมให้สะอาดระวังอย่าให้เข้าตา,ราก,,,,,,●,,,,,,,,,เอียน,ระบายท้อง,,,,,
ต้น,,,,เหา,●,,,น้อยหน่า,Annona squamosa L.,ANNONACEAE,ใช้เมล็ดน้อยหน่าหรือใบสด ตำให้ละเอียด ผสมกับน้ำมันมะพร้าว 1-2ช้อนโต๊ะ ขยี้ให้ทั่วศีรษะแล้วใช้ผ้าคลุมโพกไว้ประมาณคร่ึงชั่วโมง สระผมให้สะอาดระวังอย่าให้เข้าตา,ใบสดและเมล็ด,,,,,,,,,,,,,,,,,,"ใช้เมล็ดน้อยหน่าหรือใบสด ตำให้ละเอียด ผสมกับน้ำมันมะพร้าว 1-2ช้อนโต๊ะ ขยี้ให้ทั่วศีรษะแล้วใช้ผ้าคลุมโพกไว้ประมาณคร่ึงชั่วโมง สระผมให้สะอาด
ระวังอย่าให้เข้าตา",,,
ต้น,,,,,,,,เนียม,"Chloranthus spicatus (Thunb.) Mdkino, Chloranthusinconspicuus",CHLORANTHACEAE,ไม้ล้มพุ่ม แตกกิ่งกานสาขาออกรอบ ๆ ต้น ต้นเป็นสีเขียว มีความสูงไต้ประมาณ 1-3 ฟุต ขยายพันธุด้วยวิธีการเพาะเมล็ด,ดอก,,●,,,,,,,●,,,,,,,ชงดื่มแก่ไอ,,,,,
ต้น,,,,,,,,เนียม,"Chloranthus spicatus (Thunb.) Mdkino, Chloranthusinconspicuus",CHLORANTHACEAE,ไม้ล้มพุ่ม แตกกิ่งกานสาขาออกรอบ ๆ ต้น ต้นเป็นสีเขียว มีความสูงไต้ประมาณ 1-3 ฟุต ขยายพันธุด้วยวิธีการเพาะเมล็ด,ใบ,,,,,,●,,,●,,,,,,,นำมาปรุงในเครื่องหอมไทย ชงดื่มแก่ไอ แก่หวัด แก่ไข้ แต่งกลิ่นยาเสน,,,,,
ต้น,,,,,,,,เนียม,"Chloranthus spicatus (Thunb.) Mdkino, Chloranthusinconspicuus",CHLORANTHACEAE,ไม้ล้มพุ่ม แตกกิ่งกานสาขาออกรอบ ๆ ต้น ต้นเป็นสีเขียว มีความสูงไต้ประมาณ 1-3 ฟุต ขยายพันธุด้วยวิธีการเพาะเมล็ด,ราก,,●,,,,,,,●,,,,,,,ต้มดื่ม ขับเหงื่อ รักษามาลาเรีย ตำพอกหัวส สิว ใช้มากเกิดพิษไต้,,,,,
ต้น,,,,,,,,บวจงกลน,Nymphaea lotus Linn.,Nymphaeaceae,พืชนา กลุ่มบวสาย หรือบวนา “อุบลชาติ” บวชมมีขนาดเล็กสุดในบ้วสาย ดอกม่วง,ดอก,●,,,●,,,,,●,,,,,,,บำรุงหัวใจ ทำให้แช่มชื่น ชูกำลัง แก้ไข้ตัวร้อน บำรุงครรภ์รักษา,,,,,
ต้น,,,,,,,,บวจงกลน,Nymphaea lotus Linn.,Nymphaeaceae,พืชนา กลุ่มบวสาย หรือบวนา “อุบลชาติ” บวชมมีขนาดเล็กสุดในบ้วสาย ดอกม่วง,หัว,,,,,,●,●,●,●,,,,,,,ขับลม บำรุงครรภ์ บำรุงร่างกาย บำรุงธาตุ,,,,,
ต้น,,,,,,,,บวจงกลน,Nymphaea lotus Linn.,Nymphaeaceae,พืชนา กลุ่มบวสาย หรือบวนา “อุบลชาติ” บวชมมีขนาดเล็กสุดในบ้วสาย ดอกม่วง,ไหล,,,,,,●,●,●,●,,,,,,,ขับลม บำรุงครรภ์ บำรุงร่างกาย บำรุงธาตุ,,,,,
ต้น,,,,,,,,บัวขม,Nymphaea lotus L. var.,Pubescens Hook.f. & Th.,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกสีขาว,ดอก,●,,,●,,,,,●,,,,,,,แก้ไข้ยันเกิดเพื่อธาตุทั้ง 4 แก้ลม เสมหะ และโลหิตบำรุงหัวใจ ทำให้แช่มชื่น ชูกำลัง แก้ไข้ตัวร้อน บำรุงครรภ์รักษา ทำให้แช่มชื่น แก้ร้อนในกระหายนา แก้ไข้ตัวร้อน,,,,,
ต้น,,,,,,,,บัวขม,Nymphaea lotus L. var.,Pubescens Hook.f. & Th.,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกสีขาว,หัว,,,,,,●,,●,●,,,,,,,ขับลม บำรุงกำหนัด บำรุงร่างกาย บำรุงหัวใจ,,,,,
ต้น,,,,,,,,บัวขม,Nymphaea lotus L. var.,Pubescens Hook.f. & Th.,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกสีขาว,ไหล,,,,,,●,,●,●,,,,,,,ขับลม บำรุงกำหนัด บำรุงร่างกาย บำรุงหัวใจ,,,,,
ต้น,,,,แผลไฟไหม้ น้ำร้อนลวก,,,●,บัวบก,Centella asiatica,ผักหนอก,เอาบัวบกทั้งตน้สด 1 กำมือ ล้างให้สะอาดและตาให้ละเอียดคั้น น้ำและเอาน้ำทาชโลมบริเวณที่เป็นแผลให้ชุ่มอยู่เสมอในชั่วโมงแรก ต่อจากนั้นทาวันละ3-4 ครั้ง จนหาย,ต้นสดและใบสด,●,,,●,,,,,●,,,,,,,,,เอาบัวบกทั้งตน้สด 1 กำมือ ล้างให้สะอาดและตาให้ละเอียดคั้น น้ำและเอาน้ำทาชโลมบริเวณที่เป็นแผลให้ชุ่มอยู่เสมอในชั่วโมงแรก ต่อจากนั้นทาวันละ3-4 ครั้ง จนหาย,,,
ต้น,,,,,,,●,บัวบก,Centella asiatica,ผักหนอก,เอาบัวบกทั้งตน้สด 1 กำมือ ล้างให้สะอาดและตาให้ละเอียดคั้น น้ำและเอาน้ำทาชโลมบริเวณที่เป็นแผลให้ชุ่มอยู่เสมอในชั่วโมงแรก ต่อจากนั้นทาวันละ3-4 ครั้ง จนหาย,ทั้งต้น,,,,,,●-,,,,,,,,,,บำรุงหัวใจ แก้ช้ำในจากหกล้ม,,เอาบัวบกทั้งตน้สด 1 กำมือ ล้างให้สะอาดและตาให้ละเอียดคั้น น้ำและเอาน้ำทาชโลมบริเวณที่เป็นแผลให้ชุ่มอยู่เสมอในชั่วโมงแรก ต่อจากนั้นทาวันละ3-4 ครั้ง จนหาย,,,
ต้น,,,,,,,,บัวเผื่อน,Nymphaea stellataWiHd,Nymphaeaceae,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกม่วง,ดอก,●,,,●,,,,,●,,,,,,,บำรุงหัวใจ ทำให้แช่มชื่น ชูกำลัง แก้ไข้ตัวร้อน บำรุงครรภ์รักษา,บำรุงหัวใจ ทำให้แช่มชื่น ชูกำลัง แก้ไข้ตัวร้อน บำรุงครรภ์รักษา,,,,
ต้น,,,,,,,,บัวเผื่อน,Nymphaea stellataWiHd,Nymphaeaceae,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกม่วง,หัว,,,,,,●,●,●,●,,,,,,,ขับลม บำรุงกำหนัด แก้กามตายด้าน บำรุงร่างกาย,,,,,
ต้น,,,,,,,,บัวเผื่อน,Nymphaea stellataWiHd,Nymphaeaceae,พืชนา กลุ่มบัวสาย หรือบัวนา “อุบลชาติ” บัวขมมีขนาดเล็กสุดในบัวสาย ดอกม่วง,ไหล,,,,,,●,●,●,●,,,,,,,ขับลม บำรุงกำหนัด แก้กามตายด้าน บำรุงร่างกาย,,,,,
ต้น,,,,,,,,ใบเงิน,Graptophyllum pictum (L.) Griff.,ACANTHACEAE,ไม้พุ่ม ลำต้นตงตรง สูง 1-2 เมตร,ใบ,●,,,,,,,,,,,,,●,,ดับพิษ แก้ไข้พิษร้อน ล้อมตับดับพิษ,,,,,
ต้น,,,,,,,,ใบทอง,Graptophyllum pictum (L.) Griff.,ACANTHACEAE,ไม้พุ่ม ลำต้นตงตรง สูง 1-2 เมตร,ใบ,●,,,,,,,,,,,,,●,,ดับพิษ แก้ไข้พิษร้อน ล้อมตับดับพิษ,,,,,
ต้น,,,,,,,,ใบนาค,Graptophyllum pictum (L.) Griff.,ACANTHACEAE,ไม้พุ่ม ลำต้นตงตรง สูง 1-2 เมตร,ใบ,●,,,,,,,,,,,,,●,,ดับพิษ แก้ไข้พิษร้อน ล้อมตับดับพิษ,,,,,
ต้น,,,,,,,,ประยงค์บ้าน,Aglaia odorata Lour. ,MELIACEAE ,ไม้พุ่ม สูง 3 เมตร ,ราก,●,,,,,,,,,,,,●,,เอียน,ถอนพิษยาเบื่อเมา ทำให้อาเจียน,,,,,
ต้น,,,,,,,,ปลาไหลเผือก,Eurycoma longifolia Jack.,Simaroubaceae,ไม้พุ่มหรือไม้ต้นขนาดเล็ก ลำต้นตั้งตรง สูง 1-10 เมตร เปลือกสีน้ำตาล,ราก,,,,,,●,,,,,,●-,●,,,ตัดไข้ทุกชนิด แก้วัณโรคระยะบวม ถ่ายพิษฟิในท้องและถ่ายพิษต่างๆ,,,,,
ต้น,,,,,,,,ปีบ,Millingtonia hortensis L.f.,Bignoniaceae,ไม้ยืนต้นขนาดเล็กถึงขนาดกลาง ผลัดใบ ลำต้นตรง สูงได้ถึง 25 เมตร เปลือกต้นหนาสีน้ำตาลอ่อนปนเทา แตกเป็นร่องลึก มีช่องอากาศ ยอดอ่อนมีขนนุ่ม,ดอก,,,,,,,,,●,,,,,,เฝื่อน,ตากแห้งผสมบุหรี่สูบ แก้ริดสีดวงจมูก,,,,,
ต้น,,,,,,,,ปีบ,Millingtonia hortensis L.f.,Bignoniaceae,ไม้ยืนต้นขนาดเล็กถึงขนาดกลาง ผลัดใบ ลำต้นตรง สูงได้ถึง 25 เมตร เปลือกต้นหนาสีน้ำตาลอ่อนปนเทา แตกเป็นร่องลึก มีช่องอากาศ ยอดอ่อนมีขนนุ่ม,ราก,,,,,,,,,,,,,,,เฝื่อน,บำรุงปอด แก้ไอ หอบเหนื่อย แก้วัณโรค และปอดพิการ,,,,,
ต้น,,,,,●,●,,เปล้าน้อย,,,,เปลือกต้น,,●,,,,,,,,,,,,,,ทำให้อาหารงวด ช่วยย่อยอาหาร,,,,,
ต้น,,,,,,,,เปล้าน้อย,Croton fluviatilis Esser,Euphorbiaceae,ไม้พุ่มหรือไม้ยืนต้นขนาดเล็ก ชอบขึ้นในธารน้ำไหลผ่าน สูงได้ถึง 5  เมตร บริเวณปลายยอดมีขนสั้นนุ่มชัดเจน,ผล,,●,,,,,,,,,,,,,,ขับหนองให้กระจาย,,,,,
ต้น,,,,,,,,เปล้าน้อย,Croton fluviatilis Esser,Euphorbiaceae,ไม้พุ่มหรือไม้ยืนต้นขนาดเล็ก ชอบขึ้นในธารน้ำไหลผ่าน สูงได้ถึง 5  เมตร บริเวณปลายยอดมีขนสั้นนุ่มชัดเจน,ราก,,●,,,,,,,,,,,,,,แก้ลมขึ้นเบื้องบนให้เป็นปกติ,,,,,
ต้น,,,,,,,,เปล้าน้อย,Croton fluviatilis Esser,Euphorbiaceae,ไม้พุ่มหรือไม้ยืนต้นขนาดเล็ก ชอบขึ้นในธารน้ำไหลผ่าน สูงได้ถึง 5  เมตร บริเวณปลายยอดมีขนสั้นนุ่มชัดเจน,แก่่น,,●,,,,,,,,,,,,,,ขับโลหิต แก้ชํ้าใน,,,,,
ต้น,,,,,●,,,เปล้าใหญ่,,,,ผล,,●,,,,,,,,,,●,,,เอียน,ขับโลหิตในเรือนไฟ ขับน้ำดาวปลา,,,,,
ต้น,,,,,,,,เปล้าใหญ่,Croton oblongifolius Roxb.,Euphorbiaceae,ไม้ยืนต้นขนาดเล็ก ผลัดใบ สูงประมาณ 8 เมตร เปลือกลำต้นเรียบ,ใบ,,●,,,,,,,,,,●,,,เอียน,บำรุงธาตุ,,,,,
ต้น,,,,,,,,เปล้าใหญ่,Croton oblongifolius Roxb.,Euphorbiaceae,ไม้ยืนต้นขนาดเล็ก ผลัดใบ สูงประมาณ 8 เมตร เปลือกลำต้นเรียบ,ผล,,●,,,,,,,,,,●,,,เอียน,ขับโลหิตในเรือนไฟ ขับนํ้าคาวปลา,,,,,
ต้น,,,,,,,,เปล้าใหญ่,Croton oblongifolius Roxb.,Euphorbiaceae,ไม้ยืนต้นขนาดเล็ก ผลัดใบ สูงประมาณ 8 เมตร เปลือกลำต้นเรียบ,แก่่น,,●,,,,,,,,,,●,,,เอียน,แก่น รสสรรพคุณ ขับเลือด ขับหนองให้ตก ขับพยาธิไส้เดือน,,,,,
ต้น,,,,,,,,เปล้าใหญ่,Croton oblongifolius Roxb.,Euphorbiaceae,ไม้ยืนต้นขนาดเล็ก ผลัดใบ สูงประมาณ 8 เมตร เปลือกลำต้นเรียบ,ราก,,●,,,,,,,,,,●,,,เอียน,ขับผายลม,,,,,
ต้น,,,,,●,,,โปร่งฟ้า,,,,ราก,●,,,,,,,,,,,,,,เฝื่อน,แก้วัณโรคระยะบวม แก้ตาฝ้าฝาง ตามัว,,,,,
ต้น,,,,,,,,โปร่งฟ้า,Murraya siamensis Craib,RUTACEAE,ไม้ทรงพุ่มขนาด ๒-๔ วา ใบรูปไข่ปลายแหลม มีต่อมน้ำมันกระจ่าย ทั่วทั้งใบส่องดูจะมองเห็นเป็นจุดทั้งใบ ดอกสีขาวคล้ายดอกสะเดามีกลิ่นหอมอ่อนๆ ออกดอกที่ปลายกิ่ง เกิดตามป่าโปร่ง,ราก,,,,,,,,,,,,,,,เฝื่อนเอียน,แก้วัณโรคระยะบวม แก้ตาฟาง ตามัว,,,,,
ต้น,,,,,,,,ผักกะโฉม,Limnophila rugosa (Roth) Merr.,PLANTAGINACEAE,จัดเป็นพรรณไม้ล้มลุก มีอายุเพียงปีเดียว ลำต้นต้นแตกแขนงออกไป ต้นที่ยังเล็กอยู่จะมีขนขึ้นปกคลุม แต่เมื่อโตแล้วหรือแก่ขนจะหลุดร่วงไปเอง ลำต้นมีความสูงได้ประมาณ 1-2 ฟุต มีกลิ่นหอม ขยายพันธุ์โดยใช้เมล็ด เป็นพรรณไม้กลางแจ้งที่ชอบขึ้นอยู่ตามริมคูและชอบดินชื้นแฉะ,ใบ,●,,,,,,,,●,,,,,,,ปรุงเป็นยาเขียว กระทุ้งพิษไข้หัว หัด เหือด อีสุก อีใส ดำแดง ฝีดาษ ระงับความร้อน แก้แน่นหน้าอก แน่นท้อง ลดอาการ บวมใ!า เจริญอาหาร แก้ไอ ขับเสมหะ ขับปัสสาวะ,,,,,
ต้น,,,,,,,,ผักกะโฉม,Limnophila rugosa (Roth) Merr.,PLANTAGINACEAE,จัดเป็นพรรณไม้ล้มลุก มีอายุเพียงปีเดียว ลำต้นต้นแตกแขนงออกไป ต้นที่ยังเล็กอยู่จะมีขนขึ้นปกคลุม แต่เมื่อโตแล้วหรือแก่ขนจะหลุดร่วงไปเอง ลำต้นมีความสูงได้ประมาณ 1-2 ฟุต มีกลิ่นหอม ขยายพันธุ์โดยใช้เมล็ด เป็นพรรณไม้กลางแจ้งที่ชอบขึ้นอยู่ตามริมคูและชอบดินชื้นแฉะ,ต้น,●,,,,,,,,●,,,,,,,ปรุงเป็นยาเขียว กระทุ้งพิษไข้หัว หัด เหือด อีสุก อีใส ดำแดง ฝีดาษ ระงับความร้อน แก้แน่นหน้าอก แน่นท้อง ลดอาการ บวมใ!า เจริญอาหาร แก้ไอ ขับเสมหะ ขับปัสสาวะ,,,,,
ต้น,,,,,,,●,ผักชีล้อม,,,,เมล็ด,,●,,,,,,,●,,,,,,,ขับลมในลำไส้,,,,,
ต้น,,,,,,,●,ผักชีลา,,,,ผล,,●,,●,,,,,●,,,,,,,ขับลม แก้ไข้เนื่องจากซาง,,,,,
ต้น,,,,,,,,ผักชี่ลา,Coriandrum sativum L.,Apiaceae,ผลแก่แห้งรูปทรงกลม (mericarps) สีน้ำตาลอ่อน ประกอบด้วย cremocarp 2 อัน ผลแก่แห้งแล้วแตก แต่ละ cremocarp มีขนาดเส้นผ่านศูนย์กลาง 2-4 มิลลิเมตร ผิวนอกสีเหลืองน้ำตาลถึงสีน้ำตาล,ผล,,,●,,,,,,●,,,,,,,แก้พิษตานชาง แก้ก- ระหายนา แก้คลื่นเหียนอาเจียน ขับลมในลำไส้ แก้สะอึก แก้ตาเจ็บ แก้ลมอึงเรียน,,,,,
ต้น,,,,,,,,ผักชี่ลา,Coriandrum sativum L.,Apiaceae,ผลแก่แห้งรูปทรงกลม (mericarps) สีน้ำตาลอ่อน ประกอบด้วย cremocarp 2 อัน ผลแก่แห้งแล้วแตก แต่ละ cremocarp มีขนาดเส้นผ่านศูนย์กลาง 2-4 มิลลิเมตร ผิวนอกสีเหลืองน้ำตาลถึงสีน้ำตาล,ราก,●,,,,,,,,●,,,,,,,กระทุงพิษไข้หัว หัด เหือด อีสุก อีใส ดำแดง,,,,,
ต้น,,,,ท้องเสีย,,,,ฝรั่ง,Psidium guajava,,ใช้ใบแก่ 10-15 ใบ ปิ้งไฟและชงน้ำ 1 แก้วรับประทาน หรือใช้ผลอ่อน1 ผลฝนกับน้ำปูนใส รับประทานเมื่อมีอาการท้องเสีย,ใบแก่สดหรือผลอ่อน,,,,●,,,,,,,,,,,สมาน,,,ใช้ใบแก่ 10-15 ใบ ปิ้งไฟและชงน้ำ 1 แก้วรับประทาน หรือใช้ผลอ่อน1 ผลฝนกับน้ำปูนใส รับประทานเมื่อมีอาการท้องเสีย,,,
ต้น,,,,,,,,ฝรั่ั่ง,Psidium guajava Linn.,Myrtaceae,ไม้ยืนต้น สูง 3-10 เมตร ต้นเกลี้ยงมัน เปลือกต้นเรียบ ใบเดี่ยว กิ่งอ่อนเป็นสี่เหลี่ยม ยอดอ่อนมีขนสั้น ๆ ใบเดี่ยว เรียงตรงข้าม,ทั้งห้า,,,,●,,,,,,,,,,,,ดูดฟ้าเหลือง ฟ้าหนอง ถอนพิษบาดแผล,,,,,
ต้น,,,,,,,,ฝรั่ั่ง,Psidium guajava Linn.,Myrtaceae,ไม้ยืนต้น สูง 3-10 เมตร ต้นเกลี้ยงมัน เปลือกต้นเรียบ ใบเดี่ยว กิ่งอ่อนเป็นสี่เหลี่ยม ยอดอ่อนมีขนสั้น ๆ ใบเดี่ยว เรียงตรงข้าม,ใบสด,,,,●,,,,,●,,,,,,,เคี้ยวอม คับกลิ่นปาก กลิ่นสุรา,,,,,
ต้น,,,,,,,,ฝรั่ั่ง,Psidium guajava Linn.,Myrtaceae,ไม้ยืนต้น สูง 3-10 เมตร ต้นเกลี้ยงมัน เปลือกต้นเรียบ ใบเดี่ยว กิ่งอ่อนเป็นสี่เหลี่ยม ยอดอ่อนมีขนสั้น ๆ ใบเดี่ยว เรียงตรงข้าม,ลูกสุก,,,,●,●,,,,,,,,,,,ระบายท้อง กล่อมอาจม ดูดกลิ่นเหม็น โบราณวางบนหีบศพดูดกลิ่นเหม็น,,,,,
ต้น,,,,,,,,ฝรั่ั่ง,Psidium guajava Linn.,Myrtaceae,ไม้ยืนต้น สูง 3-10 เมตร ต้นเกลี้ยงมัน เปลือกต้นเรียบ ใบเดี่ยว กิ่งอ่อนเป็นสี่เหลี่ยม ยอดอ่อนมีขนสั้น ๆ ใบเดี่ยว เรียงตรงข้าม,ราก,,,,●,,,,,,,,,,,,แก้ฟ้าเหลืองเสีย,,,,,
ต้น,,,,,●,,,ฝางเส้น,,,,แก่น,,,,●,,●,,,,,,,,,ขื่น,แก้ท้องร่วง แก้ธาตุพิการ แก้ร้อน แก้โลหิตออกทางทวารหนัก แก้ไข้ กำเดา แก้เสมหะ บำรุงโลหิต,,,,,
ต้น,,,,,,,,ฝิ่นต้น,,,,เปลือกต้น,,,,●,,,,,,,,●,,,,คุมธาตุแก้ท้องร่วง แก้อาเจียน แก้ลงแดง แก้ปวดเบ่ง แก้ปวดเมื่อย ตามร่างกาย,,,,,
ต้น,,,,,,,,ฝืายแดง,,,,ใบ,●,,,,,,,,,,,,●,,,แก้ไข้ ขับเหงื่อ แก้พิษตานซางเด็ก,,,,,
ต้น,,,,,,,,พญารากขาว,Clerodendrum sp.,Verbenaceae,,ราก,,,,,,●,,,,,,,,,,บำรุงธาตุ เรริญอาหาร แก้อ่อนเพลีย,,,,,
ต้น,,,,,,,,พลับพลึง,,,,ใบ,,,,,,,,,,,,,,,เอียน,ทำให้อาเจียนเข็นเสมหะ ใช้ประคบแก้ช้ำและเคล็ดยอก ลนไฟให้ตายนึ่ง พ้นตามอวัยวะที่เคล็ดยอก บวม แพลง ถอนพิษได้ดี,,,,,
ต้น,,,,,,,,พิกุง,,,,เปลือกต้น,,,,●,,,,,,,,,,,,ฆ่าแมงกินฟัน,,,,,
ต้น,,,,,,,,พิกุง,,,,แก่น,,,,,,●,,,,,,,,,เฝื่อน,บำรุงโลหิต,,,,,
ต้น,,,,,,,,พิกุง,,,,ใบ,,,,●,,,,,,,,●,●,,,ฆ่าเชือกามโรค,,,,,
ต้น,,,,,,,,พิกุง,,,,ดอก,,,,●,,,,,●,,,,,,,แก้ลม บำรุงโลหิต,,,,,
ต้น,,,,,,,,พิกุง,,,,ราก,,,,,,●,,,,,,,,,เฝื่อน,บำรุงโลหิต แก้เสมหะ,,,,,
ต้น,,,,,,,,พิมเสน,,,,ใบ,●,,,,,,,,●,,,,,,,แก้ลม บำรุงหัวใร แก้ไข้ตัวร้อน ถอนพิษไข้,,,,,
ต้น,,,,,●,,,พิลังกาสา,,,,ต้น,,,,,,,,,,,,●,,,,แก้โรคเรื้อน โรคผิวหนัง,,,,,
ต้น,,,,,,,,พิลังกาสา,,,,ใบ,,●,,,,,,,,,,,,,,แก้คับพิการ,,,,,
ต้น,,,,,,,,พิลังกาสา,,,,ดอก,,,,,,●,,,,,,●,,,,ฆ่าเชื่อโรค,,,,,
ต้น,,,,,,,,พิลังกาสา,,,,ลูก,,,●,●,,,,,,,,,,,,แก้ท้องเสีย,,,,,
ต้น,,,,,,,,พิลังกาสา,,,,ราก,,,,,,,,,,,,●,,,,แก้กามโรค และหนองใน,,,,,
ต้น,,,,,,,,เพกา,,,,เปลือกต้น,●,,,●,,●-,,,,,,,,,,สมานแผล ทำให้พาเหลืองปกติดับพิษโลหิต,,,,,
ต้น,,,,,,,,เพกา,,,,ฝักแก่,,,,,,●,,,,,,,,,,แก้ร้อนในกระหายนา,,,,,
ต้น,,,,,,,,เพกา,,,,ฝักอ่อน,,●,,,,●,,,,,,,,,,ขับผายลม,,,,,
ต้น,,,,,,,,เพกา,,,,เมล็ดแก่,,,,,,●,,,,,,,,,,ระบายท้อง,,,,,
